# cfgfile = ./single-default/TOS2/TOS2.1803.meiyo_m4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
10,S01,L01,M02,3.587164,9.321540422812401e-06,48.20986095956897,-5.070985336371622e-05,False,20063.3973,60.71417,1844.71303,16.89901,208.59,-0.8,0.14,20068.04602,64.34911,1840.24133,16.9907,211.42,0.79,0.17,0.04572939431262156,0.049961770384505555,-0.0947340720214596,0.05399198113330283,-0.019708006691254387,-0.07548439111647727,2.598582173218844e-06
11,S01,L01,M03,4.359913,3.92351256518863e-05,56.87054754807265,-6.954899897351828e-05,False,20064.487225,61.6649,1843.65656,16.8462,209.07,-0.37,0.0,20069.908695,65.40538,1838.77466,16.99684,213.14,0.37,0.78,0.045687382592479064,0.04997897427726598,-0.09474353291987171,0.05394338220808831,-0.0197027756258355,-0.10352749006434514,8.999061598680136e-06
12,S01,L01,M03,4.351768,2.3918796041240392e-05,56.79941945372997,-6.912883946675587e-05,False,20073.397315,68.0963,1835.82157,16.84895,215.64,-0.33,-0.67,20078.81064,70.99422,1831.56132,17.1918,220.37,0.17,0.36,0.045433823323799936,0.050082759505834976,-0.09480062897138611,0.05365020042267339,-0.019671200712296957,-0.10290205965120076,5.496339887889334e-06
13,S01,L01,M04,3.660799,-2.0346800388199296e-05,49.510248563901996,-0.00011429171458166209,False,20074.48745,68.89034,1834.86292,16.88361,216.68,0.05,-1.13,20079.209805,71.1353,1831.33078,17.20263,220.62,0.17,0.45,0.0454126147680981,0.05009143719530203,-0.09480540436488041,0.05362568684182533,-0.019668559413998726,-0.17012947016383823,-5.558021729190621e-06
14,S01,L01,M04,3.656859,-3.3375934260339716e-05,49.464088260589335,-0.00011382995522306845,False,20083.39737,72.97802,1828.43361,16.73273,223.83,0.05,-0.93,20088.115785,74.4161,1825.33525,16.94354,227.22,-0.43,-0.01,0.0451587432201615,0.05019524487823673,-0.09486256076855393,0.05333243945269313,-0.019636933652283983,-0.16944211609527535,-9.126940431758435e-06
15,S01,L01,M01,2.696675,-8.841847516471216e-05,27.946771773447523,-9.326603661359204e-05,False,20084.4874,73.49372,1827.66395,16.77653,224.8,0.15,-1.22,20088.24563,74.43194,1825.26907,16.95042,227.26,-0.44,0.07,0.04514135456059671,0.05020235270707303,-0.09486647541556917,0.0533123604261761,-0.01963476712693267,-0.1388315981734115,-3.278796116132354e-05
16,S01,L01,M01,2.693585,-3.1758432204728792e-06,27.825625567058665,-9.31184408763277e-05,False,20093.39742,74.96615,1822.41373,16.61505,230.09,-0.1,-0.65,20097.15256,75.38277,1820.37866,16.90297,232.66,0.17,-0.93,0.04488720144976106,0.050306166424209264,-0.09492368527874362,0.05301909382780573,-0.01960308634977552,-0.13861189384338957,-1.1790395404165377e-06
17,S01,L01,M02,3.562744,8.936990270974962e-05,47.863570186680136,-5.032300253726605e-05,False,20094.487445,75.23836,1821.7161,16.5577,230.99,0.29,-1.2,20099.111745,75.22978,1819.66912,16.99505,233.32,-0.24,0.39,0.044843676547813745,0.0503239331935792,-0.0949334816878158,0.05296890370066468,-0.019597658139555205,-0.07490854249632742,2.5084570406896933e-05
18,S01,L01,M02,3.559684,-7.91104473276585e-06,47.8169911675418,-5.050886872404966e-05,False,20103.39748,74.73512,1817.56191,16.85496,234.8,0.29,-0.71,20108.01872,73.37799,1815.57216,16.95013,235.05,-0.1,-0.66,0.04458921533626648,0.05042774714638512,-0.09499074989948741,0.05267563404153261,-0.019565907623654122,-0.07518521448427169,-2.22240084590819e-06
19,S01,L01,M03,4.332198,3.7728684800804044e-05,56.63283845560832,-6.877071838916325e-05,False,20104.48751,74.50683,1817.02784,16.96031,235.16,0.56,-1.05,20109.881265,72.86119,1814.97325,16.92035,234.45,0.31,-0.01,0.04454701730482614,0.050444950833539004,-0.09500024582108588,0.052627034189608665,-0.019560638782837418,-0.10236897683405743,8.708901301557326e-06
20,S01,L01,M03,4.327033,-6.566467985307308e-05,56.589161863609604,-6.88794738293238e-05,False,20113.39757,71.48685,1813.33711,16.86436,233.74,-0.14,0.88,20118.78616,69.08128,1810.28686,16.99909,233.98,0.58,0.07,0.044292264369579004,0.0505487526766666,-0.09505756861596948,0.05233379633187558,-0.019528811043321354,-0.10253086525685057,-1.5175451597682077e-05
21,S01,L01,M04,3.641009,5.3293079896823965e-05,49.24649583944981,-0.0001131747964488007,False,20114.487605,70.95164,1812.83447,17.00507,233.35,0.01,1.26,20119.19017,68.88356,1810.0142,16.89436,234.2,0.51,0.01,0.04427088983752278,0.05055745797771537,-0.0950623778397864,0.05230920398165659,-0.019526139234521723,-0.16846687641541455,1.4636898699460499e-05
22,S01,L01,M04,3.634369,5.4869069941732645e-06,49.15695846216215,-0.00011304665601253447,False,20123.397575,67.15353,1807.33277,17.01111,235.97,0.13,-0.07,20128.0935,64.02349,1805.05889,16.95109,238.36,0.08,0.11,0.04401584864947651,0.05066125003167469,-0.0951197551005809,0.052015991518227056,-0.019494229082905358,-0.16827613236534644,1.5097275467002014e-06
23,S01,L01,M01,2.683645,-4.638543705015292e-05,27.40921301198844,-9.322095460069906e-05,False,20124.487605,66.46976,1806.71165,17.02041,236.33,-0.18,-0.05,20128.232805,63.92649,1804.97811,16.95401,238.42,0.07,0.11,0.043998240570094355,0.05066841294604688,-0.09512371620117824,0.051995756240474755,-0.01949202487123316,-0.13876449113074027,-1.728449070206861e-05
24,S01,L01,M01,2.68045,-8.386187418946686e-05,27.28650696208956,-9.337267686451325e-05,False,20133.397675,60.22087,1802.07189,16.97781,240.66,0.52,-0.19,20137.13968,57.02509,1800.54772,16.74689,242.08,-0.54,0.39,0.043742826544283964,0.05077222607515834,-0.09518116698652984,0.051702481989546335,-0.019460014193137053,-0.13899033802129787,-3.1286490771872955e-05
25,S01,L01,M02,3.552284,-3.78781436691101e-05,47.70892872671027,-5.1494172590201156e-05,False,20134.487605,59.44199,1801.52152,16.95829,241.08,0.76,-0.17,20139.101445,55.29895,1799.90535,16.86495,242.67,-0.27,0.34,0.043699044547608146,0.0507900072198198,-0.09519101386805504,0.05165224964874947,-0.019454520782614112,-0.07665189319595525,-1.0663039235914162e-05
